m/z,Intensity,Time
1999.9999999999995, 1378.2994852916106, 25.28194054615755
2000.254985513633, 1376.8013771005892, 25.28354054615755
2000.5099873338506, 1376.1111224733268, 25.28514054615755
2000.7650054606522, 1377.126904591471, 25.28674054615755
2001.0200398940376, 1382.5569076592694, 25.28834054615755
2001.2750906340066, 1388.9208848893886, 25.28994054615755
2001.5301576805598, 1401.0489143402528, 25.29154054615755
2001.7852410336968, 1412.2634216177519, 25.29314054615755
2002.0403406934176, 1419.0347342945768, 25.29474054615755
2002.2954566597223, 1416.9009101135084, 25.29634054615755
2002.550588932611, 1413.6285918805604, 25.297940546157548
2002.8057375120834, 1408.1457545079593, 25.299540546157548
2003.06090239814, 1404.1985206394654, 25.301140546157548
2003.3160835907802, 1402.9816272965877, 25.302740546157548
2003.571281090004, 1407.2117803456385, 25.304340546157547
2003.8264948958122, 1412.7849473361282, 25.305940546157547
2004.081725008204, 1421.9508470532094, 25.307540546157547
2004.3369714271798, 1432.5296383406617, 25.309140546157547
2004.5922341527394, 1440.1105089136586, 25.310740546157547
2004.847513184883, 1446.5852677506218, 25.312340546157547
2005.1028085236103, 1452.6237174898592, 25.313940546157546
2005.3581201689217, 1461.1811705355012, 25.315540546157546
2005.6134481208164, 1470.5209121587075, 25.317140546157546
2005.8687923792957, 1480.56454306848, 25.318740546157546
2006.1241529443585, 1493.2635238776968, 25.320340546157546
2006.3795298160053, 1504.6620990557997, 25.321940546157546
2006.6349229942357, 1511.0925452500255, 25.323540546157545
2006.8903324790504, 1521.8468827760166, 25.325140546157545
2007.1457582704488, 1536.722296076627, 25.326740546157545
2007.401200368431, 1555.8943313903947, 25.328340546157545
2007.656658772997, 1578.2244946654394, 25.329940546157545
2007.912133484147, 1599.7127177284656, 25.331540546157544
2008.1676245018812, 1621.517946620309, 25.333140546157544
2008.4231318261989, 1639.8719023758395, 25.334740546157544
2008.6786554571004, 1655.8312710911136, 25.336340546157544
2008.934195394586, 1668.9035006987765, 25.337940546157544
2009.1897516386555, 1677.215529876947, 25.339540546157544
2009.4453241893088, 1678.8755496472033, 25.341140546157543
2009.7009130465456, 1677.6262739884785, 25.342740546157543
2009.9565182103668, 1674.260217472816, 25.344340546157543
2010.2121396807718, 1670.1050550499372, 25.345940546157543
2010.4677774577606, 1665.7811637181717, 25.347540546157543
2010.723431541333, 1659.306404881208, 25.349140546157543
2010.9791019314896, 1650.1541398234308, 25.350740546157542
2011.23478862823, 1636.0593107679724, 25.352340546157542
2011.4904916315545, 1618.8591880560382, 25.353940546157542
2011.7462109414623, 1603.9428707775166, 25.355540546157542
2012.0019465579544, 1591.930735930736, 25.35714054615754
2012.2576984810307, 1584.6873231755121, 25.35874054615754
2012.5134667106902, 1581.478065241845, 25.36034054615754
2012.7692512469343, 1577.0519139652997, 25.36194054615754
2013.0250520897614, 1568.7023894740428, 25.36354054615754
2013.2808692391732, 1553.0770699117156, 25.36514054615754
2013.5367026951683, 1530.936087534513, 25.36674054615754
2013.7925524577477, 1504.933087909466, 25.36834054615754
2014.0484185269104, 1476.5389099089887, 25.36994054615754
2014.3043009026574, 1451.2432082353341, 25.37154054615754
2014.5601995849881, 1431.0639124654874, 25.37314054615754
2014.8161145739032, 1415.1693083819068, 25.37474054615754
2015.0720458694016, 1402.7481337560075, 25.37634054615754
2015.3279934714838, 1392.6329208848892, 25.37794054615754
2015.58395738015, 1381.5070388928655, 25.37954054615754
2015.8399375954002, 1372.2456965606573, 25.38114054615754
2016.0959341172343, 1365.123291406756, 25.38274054615754
2016.3519469456521, 1362.326481917033, 25.38434054615754
2016.6079760806542, 1366.745815863926, 25.38594054615754
